C	S	T	A	Alpha	Theta	beta	dC	dS	zz	dCS
24.00	-19.80	-29.70	29.80	-39.00	133.90	41.80	-2.00	3.80	29.30	4.29
27.10	-24.00	-29.70	34.10	-41.00	129.80	45.00	-3.00	3.00	29.10	4.24
27.10	-22.00	-29.70	33.10	-38.30	130.80	44.20	0.00	4.40	27.30	4.40
23.00	-19.80	-29.70	29.10	-40.30	134.60	41.30	-2.00	4.00	30.80	4.47
26.00	-23.00	-29.70	32.90	-41.00	131.00	44.00	-4.00	3.20	29.70	5.12
23.00	-19.10	-29.70	28.80	-39.10	135.00	41.10	-2.50	4.70	29.90	5.32
23.40	-19.30	-29.70	29.10	-39.00	134.60	41.40	-3.00	4.40	29.60	5.33
21.00	-16.00	-29.70	25.60	-36.80	138.40	39.00	0.00	6.00	29.20	6.00
25.50	-19.80	-29.70	30.90	-37.00	132.90	42.60	0.00	6.00	27.10	6.00
24.00	-22.00	-29.70	31.00	-42.20	132.70	42.70	-5.62	3.00	31.60	6.37
21.00	-17.30	-29.70	26.30	-39.10	137.60	39.50	-4.00	5.00	31.00	6.40
21.00	-16.50	-29.70	25.90	-37.70	138.10	39.20	-1.70	6.50	29.90	6.72
21.50	-16.00	-29.70	26.00	-36.10	138.00	39.30	0.00	6.80	28.50	6.80
23.00	-20.50	-29.70	29.50	-41.40	134.20	41.60	-5.80	3.80	31.60	6.93
21.50	-16.50	-29.70	26.20	-36.90	137.70	39.40	0.00	7.00	28.50	7.00
22.00	-16.00	-29.70	25.60	-36.80	138.40	39.00	0.00	7.00	29.20	7.00
22.00	-19.30	-29.70	28.10	-40.90	135.60	40.90	-5.50	4.40	31.80	7.04
21.00	-17.00	-29.70	26.10	-38.50	137.80	39.40	-2.97	6.43	30.50	7.08
24.00	-23.00	-29.70	31.60	-43.60	132.20	43.10	-7.30	2.00	32.60	7.57
21.00	-18.90	-29.70	27.20	-41.70	136.60	40.10	-6.75	4.18	32.90	7.94
22.00	-17.30	-29.70	27.00	-37.60	136.80	40.00	1.00	8.59	29.30	8.65
25.20	-17.70	-29.70	29.60	-34.10	134.10	41.70	5.00	7.70	25.20	9.18
21.00	-20.00	-29.70	27.90	-43.50	135.90	40.50	-9.10	3.50	34.30	9.75
25.50	-17.30	-29.70	29.70	-33.10	134.10	41.70	6.00	8.00	24.40	10.00
25.50	-17.30	-29.70	29.70	-33.10	134.10	41.70	6.00	8.00	24.40	10.00
18.20	-13.30	-29.70	22.00	-35.70	142.80	36.80	0.00	10.20	29.80	10.20
23.00	-23.40	-29.70	31.20	-45.60	132.50	42.80	-10.70	0.00	34.60	10.70
25.20	-16.90	-29.70	29.30	-32.80	134.50	41.50	6.50	8.50	24.30	10.70
21.00	-20.90	-29.70	28.40	-44.90	135.30	40.90	-11.20	1.29	35.30	11.27
24.00	-25.00	-29.70	32.80	-46.30	131.00	44.00	-11.30	0.00	34.50	11.30
22.00	-22.00	-29.70	29.70	-45.00	134.00	41.80	-11.60	0.00	34.80	11.60
20.00	-20.00	-29.70	27.20	-45.00	136.60	40.10	-11.80	0.00	36.00	11.80
21.00	-22.40	-29.70	29.40	-47.00	134.30	41.50	-12.60	0.00	36.90	12.60
15.00	-14.50	-29.70	20.40	-44.00	144.90	35.90	-11.60	6.70	38.30	13.40
12.00	-14.50	-29.70	18.50	-50.60	147.60	34.90	-12.10	6.80	45.80	13.88
14.00	-10.00	-29.70	17.00	-35.30	149.00	34.10	0.00	16.60	31.30	16.60
20.00	-24.00	-29.70	29.90	-50.70	133.80	41.90	-16.60	0.00	40.20	16.60
15.50	-17.20	-29.70	22.60	-48.10	142.10	37.10	-17.00	2.00	41.30	17.12
16.50	-20.00	-29.70	25.10	-50.90	139.00	38.70	-20.60	0.00	42.90	20.60
14.00	-22.00	-29.70	25.40	-58.30	138.70	38.90	-29.50	-4.00	50.60	29.77
27.10	-8.20	-29.70	28.00	-15.70	135.80	40.60	33.00	20.00	11.40	38.59
5.70	-23.40	-29.70	23.90	-77.00	140.40	38.00	-54.40	-11.30	73.30	55.56
